総回転数,回転数,大当たり,差玉
69932,109,3R（確変）,-50454
70460,512,3R（通常）,-56148
70732,271,3R（通常）,-58950
71028,295,3R（確変）,-62040
71063,34,10R（確変）,-61590
71068,0,10R（確変）,-60090
71102,33,10R（確変）,-58590
71122,19,10R（確変）,-57090
71326,188,3R（確変）,-57846
71356,29,10R（確変）,-57396
71412,55,10R（確変）,-55896
71429,16,10R（確変）,-54396
71437,7,10R（確変）,-52896
71493,55,10R（確変）,-51396
71545,51,10R（確変）,-49896
71579,33,10R（確変）,-48396
71755,143,3R（通常）,-48612
71847,91,3R（確変）,-49254
71975,127,10R（確変）,-48804
71980,4,10R（確変）,-47304
72025,44,10R（確変）,-45804
72775,721,3R（通常）,-52956
72916,140,10R*2（確変）,-54186
72941,24,10R（確変）,-51186
73203,240,3R（通常）,-52566
73275,71,3R（通常）,-52968
73848,572,10R*2（確変）,-59382
74414,495,3R（確変）,-62322
74435,20,10R（確変）,-61872
74466,30,10R（確変）,-60372
74780,313,3R（確変）,-61788
74874,93,10R（確変）,-61338
75534,659,3R（確変）,-66906
75562,27,10R（確変）,-66456
75565,2,10R（確変）,-64956
75576,10,10R（確変）,-63456
75578,1,10R（確変）,-61956
75650,71,10R*2（確変）,-60468
75690,28,3R（通常）,-57804
75698,7,3R（通常）,-57438
75908,209,3R（通常）,-59496
77033,1124,3R（確変）,-72534
77041,7,10R（確変）,-72084
77085,43,10R（確変）,-70584
77089,3,10R（確変）,-69084
77127,37,10R（確変）,-67584
77162,34,10R（確変）,-66084
77341,149,3R（通常）,-66372
77523,181,3R（確変）,-68094
77583,59,10R（確変）,-67644
77789,169,10R*2（確変）,-68172
77791,1,10R（確変）,-65172
77839,47,10R（確変）,-63672
78468,617,10R*2（確変）,-69576
78528,59,10R（確変）,-66576
78538,9,10R（確変）,-65076
78573,34,10R（確変）,-63576
78717,143,3R（確変）,-62952
78718,0,10R（確変）,-62502
78737,0,10R（確変）,-61002
78757,0,10R（確変）,-59502
78792,34,10R（確変）,-58002
78805,12,10R（確変）,-56502
79209,350,3R（通常）,-59202
79376,166,3R（確変）,-60744
79431,54,10R（確変）,-60294
79449,17,10R（確変）,-58794
79458,8,10R（確変）,-57294
79473,14,10R（確変）,-55794
79825,295,3R（確変）,-57834
79848,22,10R（確変）,-57384
79874,25,10R（確変）,-55884
79875,0,10R（確変）,-54384
80151,275,3R（通常）,-55344
80921,769,3R（通常）,-64122
81353,431,3R（通常）,-68844
81689,335,3R（通常）,-72414
81918,228,3R（確変）,-74700
81957,38,10R（確変）,-74250
82100,142,10R*2（確変）,-73614
82342,236,10R*2（確変）,-73446
82364,21,10R（確変）,-70446
82368,3,10R（確変）,-68946
82371,2,10R（確変）,-67446
82374,2,10R（確変）,-65946
82399,24,10R（確変）,-64446
82406,6,10R（確変）,-62946
82780,373,3R（確変）,-65082
82896,115,10R（確変）,-64632
82904,7,10R（確変）,-63132
82938,33,10R（確変）,-61632
82957,18,10R（確変）,-60132
82978,20,10R（確変）,-58632
83394,415,3R（通常）,-61272
83794,399,3R（確変）,-65610
83819,24,10R（確変）,-65160
83830,10,10R（確変）,-63660
84658,815,3R（確変）,-71940
84724,65,10R（確変）,-71490
84778,53,10R（確変）,-69990
85070,291,10R*2（確変）,-71142
85091,20,10R（確変）,-68142
85101,9,10R（確変）,-66642
85113,11,10R（確変）,-65142
85122,8,10R（確変）,-63642
85149,26,10R（確変）,-62142
85186,36,10R（確変）,-60642
85208,21,10R（確変）,-59142
85403,194,10R*2（確変）,-59130
85469,65,10R（確変）,-56130
85535,65,10R（確変）,-54630
85536,0,10R（確変）,-53130
85582,45,10R（確変）,-51630
85626,43,10R（確変）,-50130
85640,3,3R（確変）,-48666
85751,110,10R（確変）,-48216
85773,21,10R（確変）,-46716
85811,37,10R（確変）,-45216
85841,29,10R（確変）,-43716
85863,21,10R（確変）,-42216
85882,18,10R（確変）,-40716
85939,56,10R（確変）,-39216
85962,22,10R（確変）,-37716
85967,4,10R（確変）,-36216
86801,781,10R*2（確変）,-44088
86821,19,10R（確変）,-41088
86831,9,10R（確変）,-39588
86896,28,3R（通常）,-38424
86900,3,3R（通常）,-38010
87011,110,3R（確変）,-38880
87096,84,10R（確変）,-38430
87711,609,3R（通常）,-44238
88089,377,3R（通常）,-48312
89231,1141,3R（確変）,-61554
89255,23,10R（確変）,-61104
89274,18,10R（確変）,-59604
89407,108,3R（通常）,-59400
89801,393,3R（確変）,-63666
89824,22,10R（確変）,-63216
89825,0,10R（確変）,-61716
89833,7,10R（確変）,-60216
89836,2,10R（確変）,-58716
90297,402,3R（確変）,-62040
90316,10,3R（確変）,-61710
90342,25,10R（確変）,-61260
90351,8,10R（確変）,-59760
90358,6,10R（確変）,-58260
90409,50,10R（確変）,-56760
90417,7,10R（確変）,-55260
90420,2,10R（確変）,-53760
90604,160,3R（確変）,-54180
90607,2,10R（確変）,-53730
90624,16,10R（確変）,-52230
90625,0,10R（確変）,-50730
90638,12,10R（確変）,-49230
90670,31,10R（確変）,-47730
90690,19,10R（確変）,-46230
90779,88,3R（通常）,-44946
91070,290,3R（確変）,-47976
91128,57,10R（確変）,-47526
91129,0,10R（確変）,-46026
91161,31,10R（確変）,-44526
91291,116,3R（通常）,-44418
91477,185,3R（通常）,-46188
92258,780,3R（確変）,-55098
92264,5,10R（確変）,-54648
92306,41,10R（確変）,-53148
92333,26,10R（確変）,-51648
92506,135,3R（通常）,-51768
92595,88,10R*2（確変）,-52374
92625,29,10R（確変）,-49374
93503,838,3R（通常）,-57930
93817,313,3R（通常）,-61236
94495,677,3R（通常）,-68910
94615,119,3R（確変）,-69888
94688,72,10R（確変）,-69438
94750,61,10R（確変）,-67938
94759,8,10R（確変）,-66438
94918,138,3R（通常）,-66594
95018,99,3R（確変）,-67332
95020,1,10R（確変）,-66882
95034,13,10R（確変）,-65382
95098,63,10R（確変）,-63882
95106,7,10R（確変）,-62382
95112,5,10R（確変）,-60882
95127,0,10R（確変）,-59382
95153,25,10R（確変）,-57882
95234,80,3R（確変）,-56502
95294,59,10R（確変）,-56052
95317,22,10R（確変）,-54552
95522,146,10R*2（確変）,-54804
95588,65,10R（確変）,-51804
95637,48,10R（確変）,-50304
95670,32,10R（確変）,-48804
95686,15,10R（確変）,-47304
95742,55,10R（確変）,-45804
95969,204,3R（確変）,-46752
96021,0,10R（確変）,-46302
96051,29,10R（確変）,-44802
96201,100,3R（通常）,-44502
96423,221,3R（通常）,-46704
96488,64,3R（通常）,-47022
97046,557,3R（確変）,-53256
97081,34,10R（確変）,-52806
97099,17,10R（確変）,-51306
97114,14,10R（確変）,-49806
97162,31,3R（確変）,-48678
97316,123,3R（通常）,-49704
98408,1091,3R（確変）,-62346
98436,27,10R（確変）,-61896
98470,33,10R（確変）,-60396
98559,65,3R（確変）,-59676
98636,76,10R（確変）,-59226
98890,188,10R*2（確変）,-59982
98987,96,10R（確変）,-56982
